Id,year,month,day,precip,tmax,tmin,basin_cfs,runoff (same in datafile),delta_e
193,2003,4,11,0,66.8,40.8,1.868297,1.2,-0.668297
194,2003,4,12,0,66.6,41.9,1.973466,1.3,-0.673466
195,2003,4,13,0,62.8,45.2,2.025497,1.3,-0.725497
196,2003,4,14,0,58.3,40.5,1.907532,1.3,-0.607532
197,2003,4,15,0.76,51.1,26.7,2.315142,1.4,-0.915142
198,2003,4,16,0.01,42.6,24,1.617949,1.3,-0.317949
199,2003,4,17,0,51.8,31.4,1.534118,1.3,-0.234118
200,2003,4,18,0,47.6,27.7,1.456286,1.3,-0.156286
201,2003,4,19,0.38,41.9,25,1.415081,1.4,-0.015081
202,2003,4,20,0,48.6,24.4,1.341645,1.3,-0.041645
203,2003,4,21,0,55.6,36.3,1.307577,1.4,0.092423
204,2003,4,22,0,52.4,35.6,1.264159,1.3,0.035841
205,2003,4,23,0.24,44.9,29,1.334757,1.4,0.065243
206,2003,4,24,0.03,50.3,30.2,1.190965,1.3,0.109035
207,2003,4,25,0,61.3,35.7,1.265758,1.4,0.134242
208,2003,4,26,0,59.6,41.8,1.486006,1.4,-0.086006
209,2003,4,27,0,56,29.3,1.328972,1.5,0.171028
210,2003,4,28,0,52.3,33.5,1.263652,1.4,0.136348
211,2003,4,29,0,56.7,39.2,1.386227,1.5,0.113773
212,2003,4,30,0.65,52.6,28.8,1.980383,1.7,-0.280383
213,2003,5,1,0.02,46.3,26.1,1.302546,1.6,0.297454
214,2003,5,2,0,49,31.1,1.24869,1.6,0.35131
215,2003,5,3,0.03,61.1,36.6,1.202584,1.6,0.397416
216,2003,5,4,0.39,56,31.5,10.637592,1.6,-9.037592
217,2003,5,5,0.02,49.6,29.5,5.413266,1.5,-3.913266
218,2003,5,6,0,49.4,28.5,4.879799,1.5,-3.379799
219,2003,5,7,0.06,54.5,34.2,7.388843,1.6,-5.788843
220,2003,5,8,0.12,42.8,31.2,5.539071,1.6,-3.939071
221,2003,5,9,0.34,42.6,23.3,5.673135,1.6,-4.073135
222,2003,5,10,0.05,43.9,26.6,5.456515,1.6,-3.856515
223,2003,5,11,0,50.7,29.3,4.759751,1.6,-3.159751
224,2003,5,12,0,62,38.8,6.221736,1.6,-4.621736
225,2003,5,13,0,67.8,40.9,7.426277,1.7,-5.726277
226,2003,5,14,0,67.9,44.2,7.989594,1.9,-6.089594
227,2003,5,15,0,68.2,47.6,8.808199,2.2,-6.608199
228,2003,5,16,0,72.4,46,9.501545,2.8,-6.701545
229,2003,5,17,0,74.7,47.8,10.410794,3.4,-7.010794
230,2003,5,18,0,69.3,39.3,10.745213,3.3,-7.445213
231,2003,5,19,0,60,28.8,9.899216,3.5,-6.399216
232,2003,5,20,0,54.5,30.1,9.564985,3.6,-5.964985
233,2003,5,21,0,67.8,40.6,11.112003,4,-7.112003
234,2003,5,22,0,76.3,47.9,12.70609,5,-7.70609
235,2003,5,23,0,80.1,51.3,14.094095,6,-8.094095
236,2003,5,24,0,81.8,55.3,15.384868,7.1,-8.284868
237,2003,5,25,0,79,51.7,15.752813,8.4,-7.352813
238,2003,5,26,0,78.9,56.4,16.664216,10,-6.664216
239,2003,5,27,0,81.6,55.3,17.037815,9.1,-7.937815
240,2003,5,28,0,82.1,55.9,17.248447,12,-5.248447
241,2003,5,29,0,90,64.2,18.491162,15,-3.491162
242,2003,5,30,0,88.6,62.8,18.201541,20,1.798459
243,2003,5,31,0,86.5,54.5,17.545305,24,6.454695
244,2003,6,1,0,82.9,61,16.555078,24,7.444922
245,2003,6,2,0,78.2,51.9,16.125084,23,6.874916
246,2003,6,3,0,83.9,48.3,15.996294,23,7.003706
247,2003,6,4,0,80.1,50,15.463575,23,7.536425
248,2003,6,5,0,75.5,45.2,14.954838,22,7.045162
249,2003,6,6,0,73.5,47.3,14.680732,21,6.319268
250,2003,6,7,0,82,51.3,14.68579,21,6.31421
251,2003,6,8,0,77.4,51.8,14.190353,21,6.809647
